,accuracy,precision,recall,f1,roc,gini,speed
LogisticRegression,0.795,0.808641975308642,0.9290780141843972,0.8646864686468647,0.7943262411347518,0.5886524822695036,0.018999576568603516
NaiveBayes,0.745,0.8461538461538461,0.7801418439716312,0.8118081180811808,0.7815843250390672,0.5631686500781343,0.005006074905395508
KNN,0.72,0.7428571428571429,0.9219858156028369,0.8227848101265823,0.6236326481548262,0.24726529630965244,0.03829026222229004
DecisionTree,0.755,0.8194444444444444,0.8368794326241135,0.8280701754385965,0.6981007332612092,0.3962014665224185,0.011995315551757812
RandomForest,0.77,0.7653631284916201,0.9716312056737588,0.85625,0.7750330568577954,0.5500661137155909,0.36745190620422363
SVM_Linear,0.78,0.7869822485207101,0.9432624113475178,0.8580645161290322,0.8069479504748167,0.6138959009496334,0.2388443946838379
SVM_RBF,0.755,0.75,0.9787234042553191,0.8492307692307692,0.7914412789998797,0.5828825579997594,0.18332719802856445
BaggingSVM,0.75,0.745945945945946,0.9787234042553191,0.8466257668711656,0.7956485154465681,0.5912970308931362,0.907346248626709
ExtraTrees,0.77,0.7810650887573964,0.9361702127659575,0.8516129032258064,0.779480706815723,0.558961413631446,0.25765109062194824
AdaBoost,0.745,0.7884615384615384,0.8723404255319149,0.8282828282828283,0.7265296309652601,0.45305926193052026,0.15888118743896484
XGBoost,0.745,0.7777777777777778,0.8936170212765957,0.8316831683168316,0.7872340425531915,0.574468085106383,0.12830758094787598
LightGBM,0.78,0.7869822485207101,0.9432624113475178,0.8580645161290322,0.7901190046880634,0.5802380093761268,0.08078527450561523
CatBoost,0.775,0.7758620689655172,0.9574468085106383,0.8571428571428571,0.8088712585647313,0.6177425171294626,3.8027234077453613
